track_number,album_name,track_name,solely_written,producers,co_writer,featuring
1,Taylor Swift,Tim McGraw,No,Nathan Chapman,Liz Rose,
2,Taylor Swift,Picture to Burn,No,Nathan Chapman,Liz Rose,
3,Taylor Swift,Teardrops on My Guitar,No,Nathan Chapman,Liz Rose,
4,Taylor Swift,A Place in This World,No,Nathan Chapman,"Robert Orrall,Aneglo Petraglia",
5,Taylor Swift,Cold as You,No,Nathan Chapman,Liz Rose,
6,Taylor Swift,The Outside,Yes,"Robert Orrall,Nathan Chapman",,
7,Taylor Swift,Tied Together with a Smile,No,Nathan Chapman,Liz Rose,
8,Taylor Swift,Stay Beautiful,No,Nathan Chapman,Liz Rose,
9,Taylor Swift,Should've Said No,Yes,Nathan Chapman,,
10,Taylor Swift,Mary's Song (Oh My My My),No,Nathan Chapman,"Liz Rose,Brian Maher",
11,Taylor Swift,Our Song,Yes,Nathan Chapman,,
12,Taylor Swift,I'm Only Me When I'm With You,No,"Robert Orrall,Aneglo Petraglia","Robert Orrall,Aneglo Petraglia",
13,Taylor Swift,Invisible,No,Robert Orrall,Robert Orrall,
14,Taylor Swift,A Perfectly Good Heart,No,"Brett James,Troy Verges","Brett James,Troy Verges",
1,Fearless,Fearless,No,"Taylor Swift,Nathan Chapman","Liz Rose,Hillary Lindsey",
2,Fearless,Fifteen,Yes,"Taylor Swift,Nathan Chapman",,
3,Fearless,Love Story,Yes,"Taylor Swift,Nathan Chapman",,
4,Fearless,Hey Stephen,Yes,"Taylor Swift,Nathan Chapman",,
5,Fearless,White Horse,No,"Taylor Swift,Nathan Chapman",Liz Rose,
6,Fearless,You Belong with Me,No,"Taylor Swift,Nathan Chapman",Liz Rose,
7,Fearless,Breathe,No,"Taylor Swift,Nathan Chapman",Colbie Caillat,Colbie Caillat
8,Fearless,Tell Me Why,No,"Taylor Swift,Nathan Chapman",Liz Rose,
9,Fearless,You're Not Sorry,Yes,"Taylor Swift,Nathan Chapman",,
10,Fearless,The Way I Loved You,No,"Taylor Swift,Nathan Chapman",John Rich,
11,Fearless,Forever & Always,Yes,"Taylor Swift,Nathan Chapman",,
12,Fearless,The Best Day,Yes,"Taylor Swift,Nathan Chapman",,
13,Fearless,Change,Yes,"Taylor Swift,Nathan Chapman",,
1,Speak Now,Mine,Yes,"Taylor Swift,Nathan Chapman",,
2,Speak Now,Sparks Fly,Yes,"Taylor Swift,Nathan Chapman",,
3,Speak Now,Back to December,Yes,"Taylor Swift,Nathan Chapman",,
4,Speak Now,Speak Now,Yes,"Taylor Swift,Nathan Chapman",,
5,Speak Now,Dear John,Yes,"Taylor Swift,Nathan Chapman",,
6,Speak Now,Mean,Yes,"Taylor Swift,Nathan Chapman",,
7,Speak Now,The Story of Us,Yes,"Taylor Swift,Nathan Chapman",,
8,Speak Now,Never Grow Up,Yes,"Taylor Swift,Nathan Chapman",,
9,Speak Now,Enchanted,Yes,"Taylor Swift,Nathan Chapman",,
10,Speak Now,Better than Revenge,Yes,"Taylor Swift,Nathan Chapman",,
11,Speak Now,Innocent,Yes,"Taylor Swift,Nathan Chapman",,
12,Speak Now,Haunted,Yes,"Taylor Swift,Nathan Chapman",,
13,Speak Now,Last Kiss,Yes,"Taylor Swift,Nathan Chapman",,
14,Speak Now,Long Live,Yes,"Taylor Swift,Nathan Chapman",,
15,Speak Now,If This Was A Movie,No,"Taylor Swift,Nathan Chapman",Martin Johnson,
16,Speak Now,Ours,Yes,"Taylor Swift,Nathan Chapman",,
17,Speak Now,Superman,Yes,"Taylor Swift,Nathan Chapman",,
1,Red,State of Grace,Yes,"Taylor Swift,Nathan Chapman",,
2,Red,Red,Yes,"Taylor Swift,Nathan Chapman,Dann Huff",,
3,Red,Treacherous,No,Dan Wilson,Dan Wilson,
4,Red,I Knew You Were Trouble,No,"Max Martin,Shellback","Max Martin,Shellback",
5,Red,All Too Well,No,"Taylor Swift,Nathan Chapman",Liz Rose,
6,Red,22,No,"Max Martin,Shellback","Max Martin,Shellback",
7,Red,I Almost Do,Yes,"Taylor Swift,Nathan Chapman",,
8,Red,We Are Never Ever Getting Back Together,No,"Max Martin,Shellback","Max Martin,Shellback",
9,Red,Stay Stay Stay,Yes,"Taylor Swift,Nathan Chapman",,
10,Red,The Last Time,No,Jacknife Lee,"Gary Lightbody,Jacknife Lee",Gary Lightbody
11,Red,Holy Ground,Yes,Jeff Bhasker,,
12,Red,Sad Beautiful Tragic,Yes,"Taylor Swift,Nathan Chapman",,
13,Red,The Lucky One,Yes,Jeff Bhasker,,
14,Red,Everything Has Changed,No,Butch Walker,Ed Sheeran,Ed Sheeran
15,Red,Starlight,Yes,"Taylor Swift,Nathan Chapman,Dann Huff",,
