track_name,album_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode
A Perfectly Good Heart,Taylor Swift,0.477,0.735,-5.686,0.0346,0.00502,0,0.128,0.326,156.035,E,major
A Place In This World,Taylor Swift,0.58,0.781,-2.788,0.0305,0.0625,0,0.317,0.386,115.012,A,major
Cold As You,Taylor Swift,0.414,0.489,-5.651,0.0251,0.272,0,0.112,0.35,175.662,F,major
I'm Only Me When I'm With You,Taylor Swift,0.544,0.912,-3.612,0.0738,0.00543,7.15E-04,0.0976,0.629,143.983,G#,major
Invisible,Taylor Swift,0.618,0.4,-5.485,0.0253,0.627,0,0.0943,0.189,96.052,G,major
Mary's Song (Oh My My My),Taylor Swift,0.495,0.635,-5.235,0.0279,0.0275,0,0.182,0.404,150.802,D,major
Our Song,Taylor Swift,0.543,0.686,-4.751,0.0357,0.114,0,0.335,0.555,177.874,D,major
Picture To Burn,Taylor Swift,0.668,0.861,-2.03,0.0312,0.16,0,0.102,0.829,105.587,G,major
Should've Said No,Taylor Swift,0.474,0.773,-3.662,0.0307,0.0113,0,0.254,0.467,167.974,E,minor
Stay Beautiful,Taylor Swift,0.59,0.643,-4.725,0.0243,0.098,0,0.136,0.508,131.646,G#,major
Teardrops On My Guitar,Taylor Swift,0.617,0.422,-6.794,0.0239,0.303,0,0.123,0.264,99.966,A#,major
The Outside,Taylor Swift,0.579,0.808,-3.988,0.0275,0.00398,0,0.239,0.608,112.979,F,major
Tied Together With A Smile,Taylor Swift,0.464,0.591,-4.693,0.0286,0.512,0,0.0944,0.207,146.172,D,major
Tim McGraw,Taylor Swift,0.546,0.506,-6.334,0.0269,0.567,0,0.122,0.39,152.175,C,major
Breathe,Fearless,0.502,0.483,-7.203,0.0281,0.451,0,0.123,0.145,147.988,C#,major
Change,Fearless,0.534,0.731,-4.157,0.0336,0.00391,0,0.128,0.234,96.034,F,major
Come In With The Rain,Fearless,0.517,0.448,-6.16,0.0258,0.118,2.56E-06,0.212,0.231,143.952,G,major
Fearless,Fearless,0.588,0.694,-4.324,0.028,0.0434,0,0.293,0.51,100.029,F,major
Fifteen,Fearless,0.553,0.655,-4.246,0.0259,0.0839,0,0.143,0.212,95.407,G,major
Forever & Always,Fearless,0.608,0.801,-4.881,0.0529,0.0798,0,0.108,0.552,128.046,A#,major
Hey Stephen,Fearless,0.834,0.539,-7.279,0.0306,0.161,0,0.107,0.785,115.972,F#,major
Jump Then Fall,Fearless,0.618,0.674,-5.675,0.0276,0.115,0,0.0832,0.8,79.985,D,major
Love Story,Fearless,0.611,0.738,-3.918,0.0307,0.158,0,0.0914,0.317,119.004,D,major
SuperStar,Fearless,0.607,0.534,-5.923,0.0242,0.359,0,0.354,0.297,85.953,D,major
Tell Me Why,Fearless,0.598,0.859,-3.009,0.0412,0.0664,3.64E-06,0.356,0.538,99.99,G,major
The Best Day,Fearless,0.67,0.456,-8.402,0.0289,0.659,1.02E-06,0.117,0.357,126.075,C#,major
The Other Side Of The Door,Fearless,0.515,0.815,-4.259,0.0349,0.223,0,0.245,0.498,81.921,E,major
The Way I Loved You,Fearless,0.425,0.732,-3.538,0.0319,0.0271,0,0.112,0.474,160.884,F,major
Untouchable,Fearless,0.415,0.432,-6.7,0.0325,0.0715,2.65E-06,0.0984,0.312,199.965,F,major
White Horse,Fearless,0.355,0.349,-7.889,0.0325,0.282,0,0.1,0.249,185.776,C,major
You Belong With Me,Fearless,0.68,0.779,-4.342,0.039,0.223,2.89E-05,0.106,0.533,129.987,F#,major
You're Not Sorry,Fearless,0.463,0.477,-4.004,0.027,0.115,2.49E-06,0.113,0.293,133.927,F#,major
Back To December,Speak Now,0.527,0.667,-4.662,0.0288,0.121,0,0.415,0.313,141.901,D,major
Better Than Revenge,Speak Now,0.508,0.907,-3.039,0.085,0.015,1.72E-05,0.389,0.684,145.829,B,minor
Dear John,Speak Now,0.587,0.474,-5.195,0.0264,0.167,2.33E-06,0.109,0.107,119.434,E,major
Enchanted,Speak Now,0.454,0.618,-3.767,0.0283,0.0827,2.71E-04,0.163,0.256,163.84,G#,major
Haunted,Speak Now,0.424,0.937,-2.464,0.0578,0.108,0,0.151,0.395,161.944,F,major
Innocent,Speak Now,0.548,0.649,-5.187,0.027,0.197,1.56E-06,0.124,0.172,134.011,C#,minor
Last Kiss,Speak Now,0.495,0.353,-9.2,0.0311,0.596,2.49E-05,0.101,0.198,158.889,A#,major
Long Live,Speak Now,0.411,0.685,-4.277,0.0344,0.0377,8.01E-05,0.111,0.17,204.082,G,major
Mean,Speak Now,0.578,0.742,-3.987,0.0481,0.439,0,0.221,0.787,163.911,E,major
Mine,Speak Now,0.619,0.767,-2.793,0.0297,0.00417,1.46E-06,0.191,0.628,121.036,G,major
Never Grow Up,Speak Now,0.713,0.308,-8.684,0.0311,0.838,0,0.146,0.556,124.876,D,major
Sparks Fly,Speak Now,0.599,0.777,-2.945,0.0306,0.066,0,0.216,0.419,114.966,F,major
Speak Now,Speak Now,0.706,0.607,-3.63,0.0303,0.134,0,0.0977,0.717,118.96,G,major
