track_number,line,lyric,track_name,album_name,chorus
1,1,There's something 'bout the way,Fearless,Fearless (Taylor's Version),No
1,2,The street looks when it's just rained,Fearless,Fearless (Taylor's Version),No
1,3,"There's a glow off the pavement, you walk me to the car",Fearless,Fearless (Taylor's Version),No
1,4,And you know I wanna ask you to dance right there,Fearless,Fearless (Taylor's Version),No
1,5,"In the middle of the parking lot, yeah",Fearless,Fearless (Taylor's Version),No
1,6,"Oh, yeah",Fearless,Fearless (Taylor's Version),No
1,7,"We're driving down the road, I wonder if you know",Fearless,Fearless (Taylor's Version),No
1,8,I'm trying so hard not to get caught up now,Fearless,Fearless (Taylor's Version),No
1,9,"But you're just so cool, run your hands through your hair",Fearless,Fearless (Taylor's Version),No
1,10,Absent-mindedly making me want you,Fearless,Fearless (Taylor's Version),No
1,11,And I don't know how it gets better than this,Fearless,Fearless (Taylor's Version),Yes
1,12,"You take my hand and drag me head first, fearless",Fearless,Fearless (Taylor's Version),Yes
1,13,And I don't know why but with you I'd dance,Fearless,Fearless (Taylor's Version),Yes
1,14,"In a storm in my best dress, fearless",Fearless,Fearless (Taylor's Version),Yes
1,15,"So, baby, drive slow 'til we run out of road in this one horse town",Fearless,Fearless (Taylor's Version),No
1,16,"I wanna stay right here, in this passenger's seat",Fearless,Fearless (Taylor's Version),No
1,17,You put your eyes on me,Fearless,Fearless (Taylor's Version),No
1,18,"In this moment now, capture it, remember it",Fearless,Fearless (Taylor's Version),No
1,19,Cause I don't know how it gets better than this,Fearless,Fearless (Taylor's Version),Yes
1,20,"You take my hand and drag me head first, fearless",Fearless,Fearless (Taylor's Version),Yes
1,21,And I don't know why but with you I'd dance,Fearless,Fearless (Taylor's Version),Yes
1,22,"In a storm in my best dress, fearless",Fearless,Fearless (Taylor's Version),Yes
1,23,"Well, you stood there with me in the doorway",Fearless,Fearless (Taylor's Version),No
1,24,"My hands shake, I'm not usually this way but",Fearless,Fearless (Taylor's Version),No
1,25,You pull me in and I'm a little more brave,Fearless,Fearless (Taylor's Version),No
1,26,"It's the first kiss, it's flawless, really something",Fearless,Fearless (Taylor's Version),No
1,27,It's fearless,Fearless,Fearless (Taylor's Version),No
1,28,"Oh, yeah",Fearless,Fearless (Taylor's Version),No
1,29,Cause I don't know how it gets better than this,Fearless,Fearless (Taylor's Version),Yes
1,30,"You take my hand and drag me head first, fearless",Fearless,Fearless (Taylor's Version),Yes
1,31,And I don't know why but with you I'd dance,Fearless,Fearless (Taylor's Version),Yes
1,32,"In a storm in my best dress, fearless",Fearless,Fearless (Taylor's Version),Yes
1,33,Cause I don't know how it gets better than this,Fearless,Fearless (Taylor's Version),Yes
1,34,"You take my hand and drag me head first, fearless",Fearless,Fearless (Taylor's Version),Yes
1,35,And I don't know why but with you I'd dance,Fearless,Fearless (Taylor's Version),Yes
1,36,"In a storm in my best dress, fearless",Fearless,Fearless (Taylor's Version),Yes
1,37,"Oh, oh",Fearless,Fearless (Taylor's Version),No
1,38,"Oh, yeah",Fearless,Fearless (Taylor's Version),No
2,1,You take a deep breath and you walk through the doors,Fifteen,Fearless (Taylor's Version),No
2,2,It's the morning of your very first day,Fifteen,Fearless (Taylor's Version),No
2,3,You say hi to your friends you ain't seen in a while,Fifteen,Fearless (Taylor's Version),No
2,4,Try and stay out of everybody's way,Fifteen,Fearless (Taylor's Version),No
2,5,It's your freshman year and you're gonna be here,Fifteen,Fearless (Taylor's Version),No
2,6,For the next four years in this town,Fifteen,Fearless (Taylor's Version),No
2,7,Hoping one of those senior boys will wink at you and say,Fifteen,Fearless (Taylor's Version),No
2,8,"""You know, I haven't seen you around before""",Fifteen,Fearless (Taylor's Version),No
2,9,Cause when you're fifteen and somebody tells you they love you,Fifteen,Fearless (Taylor's Version),Yes
2,10,You're gonna believe them,Fifteen,Fearless (Taylor's Version),Yes
2,11,"And when you're fifteen, feeling like there's nothing to figure out",Fifteen,Fearless (Taylor's Version),Yes
2,12,"Well, count to ten, take it in",Fifteen,Fearless (Taylor's Version),Yes
2,13,This is life before you know who you're gonna be,Fifteen,Fearless (Taylor's Version),Yes
2,14,Fifteen,Fifteen,Fearless (Taylor's Version),Yes
2,15,You sit in class next to a redhead named Abigail,Fifteen,Fearless (Taylor's Version),No
2,16,"And soon enough, you're best friends",Fifteen,Fearless (Taylor's Version),No
2,17,Laughing at the other girls who think they're so cool,Fifteen,Fearless (Taylor's Version),No
2,18,We'll be outta here as soon as we can,Fifteen,Fearless (Taylor's Version),No
2,19,And then you're on your very first date and he's got a car,Fifteen,Fearless (Taylor's Version),No
2,20,And you're feeling like flying,Fifteen,Fearless (Taylor's Version),No
2,21,And your mama's waiting up and you're thinking he's the one,Fifteen,Fearless (Taylor's Version),No
2,22,And you're dancing 'round your room when the night ends,Fifteen,Fearless (Taylor's Version),No
2,23,When the night ends,Fifteen,Fearless (Taylor's Version),No
2,24,Cause when you're fifteen and somebody tells you they love you,Fifteen,Fearless (Taylor's Version),Yes
2,25,You're gonna believe them,Fifteen,Fearless (Taylor's Version),Yes
2,26,And when you're fifteen and your first kiss,Fifteen,Fearless (Taylor's Version),Yes
2,27,Makes your head spin 'round,Fifteen,Fearless (Taylor's Version),Yes
2,28,But in your life you'll do things greater than,Fifteen,Fearless (Taylor's Version),Yes
2,29,Dating the boy on the football team,Fifteen,Fearless (Taylor's Version),Yes
2,30,But I didn't know it at fifteen,Fifteen,Fearless (Taylor's Version),Yes
2,31,When all you wanted was to be wanted,Fifteen,Fearless (Taylor's Version),No
2,32,Wish you could go back and tell yourself what you know now,Fifteen,Fearless (Taylor's Version),No
2,33,"Back then, I swore I was gonna marry him someday",Fifteen,Fearless (Taylor's Version),No
2,34,But I realized some bigger dreams of mine,Fifteen,Fearless (Taylor's Version),No
2,35,And Abigail gave everything she had,Fifteen,Fearless (Taylor's Version),No
2,36,To a boy who changed his mind,Fifteen,Fearless (Taylor's Version),No
2,37,And we both cried,Fifteen,Fearless (Taylor's Version),No
2,38,Cause when you're fifteen and somebody tells you they love you,Fifteen,Fearless (Taylor's Version),Yes
2,39,You're gonna believe them,Fifteen,Fearless (Taylor's Version),Yes
2,40,"And when you're fifteen, don't forget to look before you fall",Fifteen,Fearless (Taylor's Version),Yes
2,41,I've found time can heal most anything,Fifteen,Fearless (Taylor's Version),Yes
2,42,And you just might find who you're supposed to be,Fifteen,Fearless (Taylor's Version),Yes
2,43,I didn't know who I was supposed to be,Fifteen,Fearless (Taylor's Version),Yes
2,44,At fifteen,Fifteen,Fearless (Taylor's Version),Yes
2,45,"La la la, la la la, la la la la",Fifteen,Fearless (Taylor's Version),No
2,46,"La la la, la la la, la la la la",Fifteen,Fearless (Taylor's Version),No
2,47,"La la la, la la la",Fifteen,Fearless (Taylor's Version),No
2,48,Your very first day,Fifteen,Fearless (Taylor's Version),No
2,49,"Take a deep breath, girl",Fifteen,Fearless (Taylor's Version),No
2,50,Take a deep breath as you walk through the doors,Fifteen,Fearless (Taylor's Version),No
3,1,We were both young when I first saw you,Love Story,Fearless (Taylor's Version),No
3,2,"I close my eyes, and the flashback starts",Love Story,Fearless (Taylor's Version),No
3,3,I'm standing there,Love Story,Fearless (Taylor's Version),No
3,4,On a balcony in summer air,Love Story,Fearless (Taylor's Version),No
3,5,"See the lights, see the party, the ball gowns",Love Story,Fearless (Taylor's Version),No
3,6,See you make your way through the crowd,Love Story,Fearless (Taylor's Version),No
3,7,"And say, ""Hello""",Love Story,Fearless (Taylor's Version),No
3,8,Little did I know,Love Story,Fearless (Taylor's Version),No
3,9,"That you were Romeo, you were throwing pebbles",Love Story,Fearless (Taylor's Version),No
3,10,"And my daddy said, ""Stay away from Juliet""",Love Story,Fearless (Taylor's Version),No
3,11,And I was crying on the staircase,Love Story,Fearless (Taylor's Version),No
3,12,"Begging you, ""Please don't go,"" and I said",Love Story,Fearless (Taylor's Version),No
3,13,"Romeo, take me somewhere we can be alone",Love Story,Fearless (Taylor's Version),Yes
3,14,"I'll be waiting, all there's left to do is run",Love Story,Fearless (Taylor's Version),Yes
3,15,You'll be the prince and I'll be the princess,Love Story,Fearless (Taylor's Version),Yes
3,16,"It's a love story, baby, just say ""Yes""",Love Story,Fearless (Taylor's Version),Yes
3,17,So I sneak out to the garden to see you,Love Story,Fearless (Taylor's Version),No
3,18,"We keep quiet, Cause we're dead if they knew",Love Story,Fearless (Taylor's Version),No
3,19,So close your eyes,Love Story,Fearless (Taylor's Version),No
3,20,"Escape this town for a little while, oh, oh",Love Story,Fearless (Taylor's Version),No
3,21,"Cause you were Romeo, I was a scarlet letter",Love Story,Fearless (Taylor's Version),No
3,22,"And my daddy said, ""Stay away from Juliet""",Love Story,Fearless (Taylor's Version),No
3,23,But you were everything to me,Love Story,Fearless (Taylor's Version),No
3,24,"I was begging you, ""Please don't go,"" and I said",Love Story,Fearless (Taylor's Version),No
3,25,"Romeo, take me somewhere we can be alone",Love Story,Fearless (Taylor's Version),Yes
3,26,"I'll be waiting, all there's left to do is run",Love Story,Fearless (Taylor's Version),Yes
3,27,You'll be the prince and I'll be the princess,Love Story,Fearless (Taylor's Version),Yes
3,28,"It's a love story, baby, just say ""Yes""",Love Story,Fearless (Taylor's Version),Yes
3,29,"Romeo, save me, they're trying to tell me how to feel",Love Story,Fearless (Taylor's Version),Yes
3,30,"This love is difficult, but it's real",Love Story,Fearless (Taylor's Version),Yes
3,31,"Don't be afraid, we'll make it out of this mess",Love Story,Fearless (Taylor's Version),Yes
3,32,"It's a love story, baby, just say ""Yes""",Love Story,Fearless (Taylor's Version),Yes
3,33,"Oh, oh",Love Story,Fearless (Taylor's Version),No
3,34,I got tired of waiting,Love Story,Fearless (Taylor's Version),No
3,35,Wondering if you were ever coming around,Love Story,Fearless (Taylor's Version),No
3,36,My faith in you was fading,Love Story,Fearless (Taylor's Version),No
3,37,When I met you on the outskirts of town,Love Story,Fearless (Taylor's Version),No
3,38,"And I said, ""Romeo, save me, I've been feeling so alone",Love Story,Fearless (Taylor's Version),No
3,39,I keep waiting for you but you never come,Love Story,Fearless (Taylor's Version),No
3,40,"Is this in my head? I don't know what to think""",Love Story,Fearless (Taylor's Version),No
3,41,"He knelt to the ground and pulled out a ring, and said",Love Story,Fearless (Taylor's Version),No
3,42,"""Marry me, Juliet, you'll never have to be alone",Love Story,Fearless (Taylor's Version),Yes
3,43,"I love you, and that's all I really know",Love Story,Fearless (Taylor's Version),Yes
3,44,"I talked to your dad, go pick out a white dress",Love Story,Fearless (Taylor's Version),Yes
3,45,"It's a love story, baby, just say 'Yes'""",Love Story,Fearless (Taylor's Version),Yes
3,46,"Oh, oh, oh",Love Story,Fearless (Taylor's Version),No
3,47,"Oh, oh, oh Cause we were both young when I first saw you",Love Story,Fearless (Taylor's Version),No
4,1,Yeah,Hey Stephen,Fearless (Taylor's Version),No
4,2,"Hey Stephen, I know looks can be deceiving",Hey Stephen,Fearless (Taylor's Version),No
4,3,But I know I saw a light in you,Hey Stephen,Fearless (Taylor's Version),No
4,4,And as we walked we were talking,Hey Stephen,Fearless (Taylor's Version),No
4,5,I didn't say half the things I wanted to,Hey Stephen,Fearless (Taylor's Version),No
4,6,Of all the girls tossing rocks at your window,Hey Stephen,Fearless (Taylor's Version),No
4,7,I'll be the one waiting there even when it's cold,Hey Stephen,Fearless (Taylor's Version),No
4,8,"Hey Stephen, boy, you might have me believing",Hey Stephen,Fearless (Taylor's Version),No
4,9,I don't always have to be alone,Hey Stephen,Fearless (Taylor's Version),No
4,10,Cause I can't help it if you look like an angel,Hey Stephen,Fearless (Taylor's Version),Yes
4,11,Can't help it if I wanna kiss you in the rain so,Hey Stephen,Fearless (Taylor's Version),Yes
4,12,Come feel this magic I've been feeling since I met you,Hey Stephen,Fearless (Taylor's Version),Yes
4,13,Can't help it if there's no one else,Hey Stephen,Fearless (Taylor's Version),Yes
4,14,"Mmm, I can't help myself",Hey Stephen,Fearless (Taylor's Version),Yes
4,15,"Hey Stephen, I've been holding back this feeling",Hey Stephen,Fearless (Taylor's Version),No
4,16,So I got some things to say to you,Hey Stephen,Fearless (Taylor's Version),No
4,17,"I've seen it all, so I thought",Hey Stephen,Fearless (Taylor's Version),No
4,18,But I never seen nobody shine the way you do,Hey Stephen,Fearless (Taylor's Version),No
4,19,"The way you walk, way you talk, way you say my name",Hey Stephen,Fearless (Taylor's Version),No
4,20,"It's beautiful, wonderful, don't you ever change",Hey Stephen,Fearless (Taylor's Version),No
4,21,"Hey Stephen, why are people always leaving?",Hey Stephen,Fearless (Taylor's Version),No
4,22,I think you and I should stay the same,Hey Stephen,Fearless (Taylor's Version),No
4,23,Cause I can't help it if you look like an angel,Hey Stephen,Fearless (Taylor's Version),Yes
4,24,Can't help it if I wanna kiss you in the rain so,Hey Stephen,Fearless (Taylor's Version),Yes
4,25,Come feel this magic I've been feeling since I met you,Hey Stephen,Fearless (Taylor's Version),Yes
4,26,Can't help it if there's no one else,Hey Stephen,Fearless (Taylor's Version),Yes
4,27,"Mmm, I can't help myself",Hey Stephen,Fearless (Taylor's Version),Yes
4,28,"They're dimming the street lights, you're perfect for me",Hey Stephen,Fearless (Taylor's Version),No
4,29,Why aren't you here tonight?,Hey Stephen,Fearless (Taylor's Version),No
4,30,"I'm waiting alone now, so come on and come out",Hey Stephen,Fearless (Taylor's Version),No
4,31,"And pull me near and shine, shine, shine",Hey Stephen,Fearless (Taylor's Version),No
4,32,"Hey Stephen, I could give you fifty reasons",Hey Stephen,Fearless (Taylor's Version),No
4,33,Why I should be the one you choose,Hey Stephen,Fearless (Taylor's Version),No
4,34,"All those other girls, well, they're beautiful",Hey Stephen,Fearless (Taylor's Version),No
4,35,But would they write a song for you?,Hey Stephen,Fearless (Taylor's Version),No
4,36,I can't help it if you look like an angel,Hey Stephen,Fearless (Taylor's Version),No
4,37,Can't help it if I wanna kiss you in the rain so,Hey Stephen,Fearless (Taylor's Version),Yes
4,38,Come feel this magic I've been feeling since I met you,Hey Stephen,Fearless (Taylor's Version),Yes
4,39,Can't help it if there's no one else,Hey Stephen,Fearless (Taylor's Version),Yes
4,40,"Mmm, I can't help myself",Hey Stephen,Fearless (Taylor's Version),Yes
4,41,If you look like an angel,Hey Stephen,Fearless (Taylor's Version),Yes
4,42,Can't help it if I wanna kiss you in the rain so,Hey Stephen,Fearless (Taylor's Version),Yes
4,43,Come feel this magic I've been feeling since I met you,Hey Stephen,Fearless (Taylor's Version),Yes
4,44,Can't help it if there's no one else,Hey Stephen,Fearless (Taylor's Version),Yes
4,45,"Mmm, I can't help myself",Hey Stephen,Fearless (Taylor's Version),Yes
4,46,Myself,Hey Stephen,Fearless (Taylor's Version),No
4,47,Can't help myself,Hey Stephen,Fearless (Taylor's Version),No
4,48,I can't help myself,Hey Stephen,Fearless (Taylor's Version),No
5,1,"Say you're sorry, that face of an angel",White Horse,Fearless (Taylor's Version),No
5,2,Comes out just when you need it to,White Horse,Fearless (Taylor's Version),No
5,3,As I paced back and forth all this time,White Horse,Fearless (Taylor's Version),No
5,4,Cause I honestly believed in you,White Horse,Fearless (Taylor's Version),No
5,5,"Holding on, the days drag on",White Horse,Fearless (Taylor's Version),No
5,6,"Stupid girl, I shoulda known, I shoulda known",White Horse,Fearless (Taylor's Version),No
5,7,"That I'm not a princess, this ain't a fairytale",White Horse,Fearless (Taylor's Version),Yes
5,8,"I'm not the one you'll sweep off her feet, lead her up the stairwell",White Horse,Fearless (Taylor's Version),Yes
5,9,"This ain't Hollywood, this is a small town",White Horse,Fearless (Taylor's Version),Yes
5,10,I was a dreamer before you went and let me down,White Horse,Fearless (Taylor's Version),Yes
5,11,Now it's too late for you and your white horse,White Horse,Fearless (Taylor's Version),Yes
5,12,To come around,White Horse,Fearless (Taylor's Version),Yes
5,13,"Maybe I was naive, got lost in your eyes",White Horse,Fearless (Taylor's Version),No
5,14,And never really had a chance,White Horse,Fearless (Taylor's Version),No
5,15,"My mistake, I didn't know to be in love",White Horse,Fearless (Taylor's Version),No
5,16,You had to fight to have the upper hand,White Horse,Fearless (Taylor's Version),No
5,17,I had so many dreams about you and me,White Horse,Fearless (Taylor's Version),No
5,18,"Happy endings, now I know",White Horse,Fearless (Taylor's Version),No
5,19,"That I'm not a princess, this ain't a fairytale",White Horse,Fearless (Taylor's Version),Yes
5,20,"I'm not the one you'll sweep off her feet, lead her up the stairwell",White Horse,Fearless (Taylor's Version),Yes
5,21,"This ain't Hollywood, this is a small town",White Horse,Fearless (Taylor's Version),Yes
5,22,I was a dreamer before you went and let me down,White Horse,Fearless (Taylor's Version),Yes
5,23,Now it's too late for you and your white horse,White Horse,Fearless (Taylor's Version),Yes
5,24,To come around,White Horse,Fearless (Taylor's Version),Yes
5,25,And there you are on your knees,White Horse,Fearless (Taylor's Version),No
5,26,"Begging for forgiveness, begging for me",White Horse,Fearless (Taylor's Version),No
5,27,Just like I always wanted,White Horse,Fearless (Taylor's Version),No
5,28,But I'm so sorry,White Horse,Fearless (Taylor's Version),No
5,29,"Cause I'm not your princess, this ain't our fairytale",White Horse,Fearless (Taylor's Version),Yes
5,30,I'm gonna find someone someday,White Horse,Fearless (Taylor's Version),Yes
5,31,Who might actually treat me well,White Horse,Fearless (Taylor's Version),Yes
5,32,"This is a big world, that was a small town",White Horse,Fearless (Taylor's Version),Yes
5,33,There in my rear view mirror disappearing now,White Horse,Fearless (Taylor's Version),Yes
5,34,And it's too late for you and your white horse,White Horse,Fearless (Taylor's Version),Yes
5,35,Now it's too late for you and your white horse,White Horse,Fearless (Taylor's Version),Yes
5,36,To catch me now,White Horse,Fearless (Taylor's Version),Yes
5,37,"Oh, whoa, whoa, whoa",White Horse,Fearless (Taylor's Version),No
5,38,"Try and catch me now, oh",White Horse,Fearless (Taylor's Version),No
5,39,It's too late to catch me now,White Horse,Fearless (Taylor's Version),No
6,1,"You're on the phone with your girlfriend, she's upset",You Belong with Me,Fearless (Taylor's Version),No
6,2,She's going off about something that you said,You Belong with Me,Fearless (Taylor's Version),No
6,3,Cause she doesn't get your humor like I do,You Belong with Me,Fearless (Taylor's Version),No
6,4,"I'm in my room, it's a typical Tuesday night",You Belong with Me,Fearless (Taylor's Version),No
