name_a,name_b,value
Max Martin,Shellback,20
Adam King Feeney,Louis Bell,3
Aneglo Petraglia,Robert Orrall,2
Justin Vernon,William Bowery,2
Hillary Lindsey,Liz Rose,2
Ali Payami,Max Martin,2
Ali Payami,Shellback,2
Annie Clark,Jack Antonoff,1
Cautious Clay,Jack Antonoff,1
Jack Antonoff,Mark Anthony Spears,1
Cautious Clay,Mark Anthony Spears,1
Brendon Urie,Joel Little,1
Aaron Dessner,Bryce Dessner,1
Aaron Dessner,William Bowery,1
Bryce Dessner,William Bowery,1
Max Martin,Oscar Holter,1
Aaron Dessner,Jack Antonoff,1
Cary Barlowe,Nathan Barlowe,1
Cary Barlowe,Tommy Lee James,1
Nathan Barlowe,Tommy Lee James,1
Oscar Holter,Shellback,1
Max Martin,Oscar Gorres,1
Oscar Gorres,Shellback,1
Brian Maher,Liz Rose,1
Fred Fairbrass,Rob Manzoli,1
Richard Fairbrass,Rob Manzoli,1
Fred Fairbrass,Richard Fairbrass,1
Jack Antonoff,Rob Manzoli,1
Fred Fairbrass,Jack Antonoff,1
Jack Antonoff,Richard Fairbrass,1
Ed Sheeran,Nayvadius Wilburn,1
Nayvadius Wilburn,Shellback,1
Ed Sheeran,Shellback,1
Max Martin,Nayvadius Wilburn,1
Ed Sheeran,Max Martin,1
Gary Lightbody,Jacknife Lee,1
Brett James,Troy Verges,1
Brad Warren,Brett Warren,1
