name_a,name_b,album_work,size,source,sink
Taylor Swift,Taylor Swift,All,1,0,0
Nathan Chapman,Nathan Chapman,Until Red,12,1,1
Dann Huff,Dann Huff,Until Red,1,2,2
Aneglo Petraglia,Aneglo Petraglia,Until Red,1,3,3
Brett James,Brett James,Until Red,1,4,4
Robert Orrall,Robert Orrall,Until Red,3,5,5
Troy Verges,Troy Verges,Until Red,1,6,6
Max Martin,Max Martin,Reputation and 1989,1,7,7
Ali Payami,Ali Payami,Reputation and 1989,1,8,8
Noel Zancanella,Noel Zancanella,Reputation and 1989,1,9,9
Ryan Tedder,Ryan Tedder,Reputation and 1989,1,10,10
Oscar Holter,Oscar Holter,Reputation and 1989,1,11,11
Oscar Gorres,Oscar Gorres,Reputation and 1989,1,12,12
Imogen Heap,Imogen Heap,Reputation and 1989,1,13,13
Greg Kurstin,Greg Kurstin,Reputation and 1989,1,14,14
Mattman & Robin,Mattman & Robin,Reputation and 1989,1,15,15
Shellback,Shellback,Reputation and 1989,1,16,16
Jack Antonoff,Jack Antonoff,Lover,1,17,17
Joel Little,Joel Little,Lover,1,18,18
Louis Bell,Louis Bell,Lover,1,19,19
Frank Dukes,Frank Dukes,Lover,1,20,20
Sounwave,Sounwave,Lover,1,21,21
Christopher Rowe,Christopher Rowe,folklore onwards,1,22,22
Aaron Dessner,Aaron Dessner,folklore onwards,22,23,23
BJ Burton,BJ Burton,folklore onwards,1,24,24
James Mcalister,James Mcalister,folklore onwards,1,25,25
Bryce Dessner,Bryce Dessner,folklore onwards,1,26,26
